,City,Country,Latitude,Longitude,Date,Max Temperature (Celsius),Humidity(%),Cloudiness,Wind Speed(km/h)
0,kapaa,US,22.08,-159.32,1587947208,27.0,65,20,5.7
1,georgetown,MY,5.41,100.34,1587947208,26.0,88,20,1.5
2,kodiak,US,57.79,-152.41,1587947208,11.0,43,75,5.1
3,xichang,CN,27.9,102.26,1587947209,12.25,39,100,1.64
4,dingle,PH,11.0,122.67,1587947209,28.37,74,88,5.65
5,yicheng,CN,31.37,119.87,1587947209,17.22,59,2,3.95
6,punta arenas,CL,-53.15,-70.92,1587946949,2.0,71,64,2.1
7,albany,US,42.6,-73.97,1587947210,4.44,100,90,5.7
8,puerto ayora,EC,-0.74,-90.35,1587947210,28.0,69,20,6.2
9,hilo,US,19.73,-155.09,1587947112,28.0,58,1,4.1
10,asyut,EG,27.18,31.18,1587947210,20.0,42,0,2.6
11,rikitea,PF,-23.12,-134.97,1587947210,24.17,76,4,6.57
12,tuktoyaktuk,CA,69.45,-133.04,1587947210,-6.0,73,90,4.6
13,bethel,US,41.37,-73.41,1587947200,6.67,93,90,4.1
14,yellowknife,CA,62.46,-114.35,1587947211,-6.0,31,75,1.0
15,provideniya,RU,64.38,-173.3,1587947211,-6.0,79,62,1.0
16,muroto,JP,33.28,134.15,1587947211,18.0,25,77,5.1
17,mangochi,MW,-14.48,35.26,1587947211,18.88,73,5,2.64
18,sicuani,PE,-14.27,-71.23,1587947212,9.64,26,100,1.45
19,warmbad,NA,-28.45,18.73,1587947212,19.96,41,53,4.82
20,lebu,CL,-37.62,-73.65,1587947212,13.6,90,94,6.93
21,tasiilaq,GL,65.61,-37.64,1587947212,1.0,74,100,12.3
22,beian,NO,63.66,9.57,1587947212,3.33,80,40,3.6
23,vao,NC,-22.67,167.48,1587947213,23.32,74,77,8.73
24,abong mbang,CM,3.98,13.18,1587947213,20.68,80,88,1.59
25,reforma,MX,18.1,-91.02,1587947213,31.66,52,65,7.42
26,bathsheba,BB,13.22,-59.52,1587947213,27.0,69,40,8.7
27,namibe,AO,-15.2,12.15,1587947213,22.28,64,0,3.47
28,quatre cocos,MU,-20.21,57.76,1587947214,24.0,94,20,1.5
29,cape town,ZA,-33.93,18.42,1587946980,18.33,77,40,10.8
30,araouane,ML,18.9,-3.53,1587947214,32.03,13,85,4.65
31,itapirapua,BR,-15.82,-50.61,1587947214,21.0,73,0,2.0
32,arraial do cabo,BR,-22.97,-42.03,1587946988,24.07,75,0,5.21
